billboard_name,spotify_name,spotify_id,genres_original,genres_musicoset_format,needs_review,song_count,years_active,sample_songs,issue,suggested_genres,suggested_musicoset_format
Matthew Santos,Matthew Santos,5t2P9w0qT2I9y0DrNhykSj,"soul, r&b","['soul', 'r&b']",GENRES_ADDED,1,2008,Superstar,no_genres,"soul, r&b","['soul', 'r&b']"
Melle Mel,Melle Mel,2vFI46txKvL9Gde572uNTz,"hip hop, old school hip hop","['hip hop', 'old school hip hop']",GENRES_ADDED,1,2015,Downtown,no_genres,"hip hop, old school hip hop","['hip hop', 'old school hip hop']"
Mims,Mims,6RRYjswZrDD1U2lL9FFEPU,"hip hop, rap","['hip hop', 'rap']",GENRES_ADDED,1,2007,This Is Why I'm Hot,no_genres,"hip hop, rap","['hip hop', 'rap']"
Mooski,Mooski,4NqH3V7GS0Igs1VyGMXEi8,"hip hop, melodic rap","['hip hop', 'melodic rap']",GENRES_ADDED,1,2021,Track Star,no_genres,"hip hop, melodic rap","['hip hop', 'melodic rap']"
Mr Hudson,Mr Hudson,1zV9UjTUevjp5VUddqIUUn,"r&b, hip hop, soul","['r&b', 'hip hop', 'soul']",GENRES_ADDED,1,2010,Young Forever,no_genres,"r&b, hip hop, soul","['r&b', 'hip hop', 'soul']"
Muni Long,Muni Long,7tjVFCxJdwT4NdrTmjyjQ6,"r&b, soul","['r&b', 'soul']",GENRES_ADDED,1,2022,Hrs and Hrs,no_genres,"r&b, soul","['r&b', 'soul']"
Måneskin,Måneskin,0lAWpj5szCSwM4rUMHYmrr,"rock, glam rock, alternative rock","['rock', 'glam rock', 'alternative rock']",GENRES_ADDED,1,2021,Beggin',no_genres,"rock, glam rock, alternative rock","['rock', 'glam rock', 'alternative rock']"
Natalie La Rose,Natalie La Rose,2qdONMCoDngQk0eV4Avs1i,"pop, dance pop, r&b","['pop', 'dance pop', 'r&b']",GENRES_ADDED,1,2015,Somebody,no_genres,"pop, dance pop, r&b","['pop', 'dance pop', 'r&b']"
Nicky Youre,Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,"pop, indie pop","['pop', 'indie pop']",GENRES_ADDED,1,2022,Sunroof,no_genres,"pop, indie pop","['pop', 'indie pop']"
Niia,Niia,1KlUwB6uFECMC3zzvFvykx,"r&b, soul","['r&b', 'soul']",GENRES_ADDED,1,2008,Sweetest Girl (Dollar Bill),no_genres,"r&b, soul","['r&b', 'soul']"
Nitti,Nitti,72NU0FPsKjpO730t9vbW0a,"hip hop, crunk, southern hip hop","['hip hop', 'crunk', 'southern hip hop']",GENRES_ADDED,1,2006,It's Goin' Down,no_genres,"hip hop, crunk, southern hip hop","['hip hop', 'crunk', 'southern hip hop']"
Noah Kahan,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,"folk pop, indie folk, singer-songwriter","['folk pop', 'indie folk', 'singer-songwriter']",GENRES_ADDED,1,2023,Dial Drunk,no_genres,"folk pop, indie folk, singer-songwriter","['folk pop', 'indie folk', 'singer-songwriter']"
Paul McCoy,Paul McCoy,48Mb31TcOhPFjwacZPbiU9,"rock, nu metal, alternative metal","['rock', 'nu metal', 'alternative metal']",GENRES_ADDED,1,2003,Bring Me to Life,no_genres,"rock, nu metal, alternative metal","['rock', 'nu metal', 'alternative metal']"
Powfu,Powfu,6bmlMHgSheBauioMgKv2tn,"hip hop, lo-fi hip hop, emo rap","['hip hop', 'lo-fi hip hop', 'emo rap']",GENRES_ADDED,1,2020,Death Bed,no_genres,"hip hop, lo-fi hip hop, emo rap","['hip hop', 'lo-fi hip hop', 'emo rap']"
QB Finest,QB Finest,06X9ub06B2zsqDpmHUqh3K,"hip hop, east coast hip hop, rap","['hip hop', 'east coast hip hop', 'rap']",GENRES_ADDED,1,2001,Oochie Wally,no_genres,"hip hop, east coast hip hop, rap","['hip hop', 'east coast hip hop', 'rap']"
Ray Dalton,Ray Dalton,4e0nWw2r4BoQSKPQ2zpU13,"r&b, soul, hip hop","['r&b', 'soul', 'hip hop']",GENRES_ADDED,1,2013,Can't Hold Us,no_genres,"r&b, soul, hip hop","['r&b', 'soul', 'hip hop']"
Remy Boyz,Remy Boyz,2s0yxtiHiyGe6CY4mbDYFi,"hip hop, trap, rap","['hip hop', 'trap', 'rap']",GENRES_ADDED,1,2016,679,no_genres,"hip hop, trap, rap","['hip hop', 'trap', 'rap']"
Rhenzy Feliz,Rhenzy Feliz,2as15AH2BTrPk8v4gyElmr,"musical theatre, soundtrack","['musical theatre', 'soundtrack']",GENRES_ADDED,1,2022,We Don't Talk About Bruno,no_genres,"musical theatre, soundtrack","['musical theatre', 'soundtrack']"
Rozes,Rozes,6tARJVc2sZDHgAHOYJhRp8,"electropop, indie pop","['electropop', 'indie pop']",GENRES_ADDED,1,2016,Roses,no_genres,"electropop, indie pop","['electropop', 'indie pop']"
Ryan Tedder,Ryan Tedder,4we5S2VLjgY9KzIzApL1KI,"pop rock, alternative rock","['pop rock', 'alternative rock']",GENRES_ADDED,1,2011,Rocketeer,no_genres,"pop rock, alternative rock","['pop rock', 'alternative rock']"
Sabi,Sabi,3tB8VKd0rtEnc9x8l78ymo,"electropop, dance pop","['electropop', 'dance pop']",GENRES_ADDED,1,2011,You Make Me Feel...,no_genres,"electropop, dance pop","['electropop', 'dance pop']"
Sacario,Sacario,7bbJOUpJk7Y8Pkr2fCtDsc,"r&b, hip hop","['r&b', 'hip hop']",GENRES_ADDED,1,2002,If I Could Go!,no_genres,"r&b, hip hop","['r&b', 'hip hop']"
Sean Garrett,Sean Garrett,4aWpJudn4ljEWahx6cPEGu,"r&b, hip hop","['r&b', 'hip hop']",GENRES_ADDED,1,2009,Break Up,no_genres,"r&b, hip hop","['r&b', 'hip hop']"
Social House,Social House,5UjifI1TYefXWn9GdqDOHl,"pop, r&b","['pop', 'r&b']",GENRES_ADDED,1,2019,Boyfriend,no_genres,"pop, r&b","['pop', 'r&b']"
Sonique,Sonique,5xtqw2B8z8JGfDYi2eAZHI,"electronic, dance, house","['electronic', 'dance', 'house']",GENRES_ADDED,1,2000,It Feels So Good,no_genres,"electronic, dance, house","['electronic', 'dance', 'house']"
SpotemGottem,SpotemGottem,3Y2MLcrD3ZQXRXmtn4fZQx,"hip hop, rap, florida rap","['hip hop', 'rap', 'florida rap']",GENRES_ADDED,1,2021,Beat Box,no_genres,"hip hop, rap, florida rap","['hip hop', 'rap', 'florida rap']"
StaySolidRocky,StaySolidRocky,1XLWox9w1Yvbodui0SRhUQ,"hip hop, melodic rap","['hip hop', 'melodic rap']",GENRES_ADDED,1,2020,Party Girl,no_genres,"hip hop, melodic rap","['hip hop', 'melodic rap']"
Stephanie Beatriz,Stephanie Beatriz,5PYToRCsrnvikZg3yl2JMr,"musical theatre, soundtrack","['musical theatre', 'soundtrack']",GENRES_ADDED,1,2022,We Don't Talk About Bruno,no_genres,"musical theatre, soundtrack","['musical theatre', 'soundtrack']"
Stephen Sanchez,Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,"pop, retro pop, soft rock","['pop', 'retro pop', 'soft rock']",GENRES_ADDED,1,2023,Until I Found You,no_genres,"pop, retro pop, soft rock","['pop', 'retro pop', 'soft rock']"
Surf Mesa,Surf Mesa,1lmU3giNF3CSbkVSQmLpHQ,"electronic, house, dance","['electronic', 'house', 'dance']",GENRES_ADDED,1,2020,ILY (I Love You Baby),no_genres,"electronic, house, dance","['electronic', 'house', 'dance']"
Surfaces,Surfaces,4ETSs924pXMzjIeD6E9b4u,"indie pop, funk pop","['indie pop', 'funk pop']",GENRES_ADDED,1,2020,Sunday Best,no_genres,"indie pop, funk pop","['indie pop', 'funk pop']"
The Product G&B,The Product G&B,782IpIScTpnDhYb9hyxOu1,"r&b, latin soul","['r&b', 'latin soul']",GENRES_ADDED,1,2000,Maria Maria,no_genres,"r&b, latin soul","['r&b', 'latin soul']"
Tiara Thomas,Tiara Thomas,69FykkhiqpzqeSNYRxc8BI,"r&b, hip hop","['r&b', 'hip hop']",GENRES_ADDED,1,2013,Bad,no_genres,"r&b, hip hop","['r&b', 'hip hop']"
Toosii,Toosii,6BH1xcDkwbbyrLMUKECsW1,"hip hop, melodic rap, r&b","['hip hop', 'melodic rap', 'r&b']",GENRES_ADDED,1,2023,Favorite Song,no_genres,"hip hop, melodic rap, r&b","['hip hop', 'melodic rap', 'r&b']"
Trevor Daniel,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,"pop, alternative r&b","['pop', 'alternative r&b']",GENRES_ADDED,1,2020,Falling,no_genres,"pop, alternative r&b","['pop', 'alternative r&b']"
Tyler Cole,Tyler Cole,1xoxekeb8jUVHKJB7m6bfg,"alternative r&b, indie","['alternative r&b', 'indie']",GENRES_ADDED,1,2022,Meet Me at Our Spot,no_genres,"alternative r&b, indie","['alternative r&b', 'indie']"
Willa Ford,Willa Ford,0kuEP1E9k3WBEwMKwEmp9u,"pop, dance pop","['pop', 'dance pop']",GENRES_ADDED,1,2001,I Wanna Be Bad,no_genres,"pop, dance pop","['pop', 'dance pop']"
Wynter,Wynter,3DPBVk2CE9Tr0AAEEq19iB,"r&b, pop","['r&b', 'pop']",GENRES_ADDED,1,2009,Sugar,no_genres,"r&b, pop","['r&b', 'pop']"
YK Osiris,YK Osiris,7meyrw7Or5DwteYxDJrkCM,"r&b, hip hop","['r&b', 'hip hop']",GENRES_ADDED,1,2019,Worth It,no_genres,"r&b, hip hop","['r&b', 'hip hop']"
Yung Bleu,Yung Bleu,3KNIG74xSTc3dj0TRy7pGX,"hip hop, melodic rap, r&b","['hip hop', 'melodic rap', 'r&b']",GENRES_ADDED,1,2021,You're Mines Still,no_genres,"hip hop, melodic rap, r&b","['hip hop', 'melodic rap', 'r&b']"
