genre1,genre2,years_together,first_year,last_year
-,pop punk,2,2016,2017
-,pop rap,5,2004,2014
-,pop rock,4,2011,2016
-,post-teen pop,2,2009,2010
-,r&b,5,2002,2014
-,rap,1,2017,2017
-,reggae fusion,2,2009,2015
-,reggaeton,1,2023,2023
-,romanian pop,1,2011,2011
-,scorecore,1,2015,2015
-,soca,1,2004,2004
-,trap music,2,2017,2018
-,tropical house,1,2014,2014
-,uk funky,1,2016,2016
-,uk pop,1,2013,2013
-,viral trap,1,2015,2015
acoustic pop,-,5,2004,2014
acoustic pop,alternative dance,1,2013,2013
acoustic pop,alternative hip hop,2,2002,2005
acoustic pop,alternative metal,2,2004,2010
acoustic pop,alternative r&b,3,2012,2014
acoustic pop,alternative rock,1,2010,2010
acoustic pop,art pop,2,2013,2014
acoustic pop,atl hip hop,1,2004,2004
acoustic pop,australian country,2,2004,2013
acoustic pop,australian dance,2,2012,2014
acoustic pop,australian pop,2,2004,2013
acoustic pop,baroque pop,1,2006,2006
acoustic pop,bass trap,1,2013,2013
acoustic pop,bassline,1,2008,2008
acoustic pop,baton rouge rap,2,2005,2008
acoustic pop,battle rap,1,2004,2004
acoustic pop,bergen indie,1,2012,2012
acoustic pop,big room,1,2013,2013
acoustic pop,blues-rock,2,2004,2008
acoustic pop,bounce,1,2004,2004
acoustic pop,boy band,2,2002,2005
acoustic pop,british soul,1,2012,2012
acoustic pop,broadway,1,2014,2014
acoustic pop,cali rap,2,2006,2014
acoustic pop,canadian hip hop,2,2012,2013
acoustic pop,canadian latin,2,2002,2006
acoustic pop,canadian pop,2,2004,2009
acoustic pop,candy pop,1,2013,2013
acoustic pop,cantautor,1,2005,2005
acoustic pop,ccm,1,2004,2004
acoustic pop,celtic,1,2004,2004
acoustic pop,celtic rock,1,2013,2013
acoustic pop,chamber pop,1,2013,2013
acoustic pop,chicago rap,6,2000,2014
acoustic pop,chicano rap,1,2004,2004
acoustic pop,colombian pop,5,2002,2014
acoustic pop,comic,1,2013,2013
acoustic pop,complextro,2,2013,2014
acoustic pop,conscious hip hop,3,2005,2013
acoustic pop,contemporary country,3,2004,2008
acoustic pop,country,1,2000,2000
acoustic pop,crunk,3,2004,2008
acoustic pop,dance pop,1,2004,2004
acoustic pop,dancehall,1,2004,2004
acoustic pop,deep pop r&b,2,2005,2009
acoustic pop,deep southern trap,1,2008,2008
acoustic pop,detroit hip hop,4,2004,2014
acoustic pop,dirty south rap,4,2004,2014
acoustic pop,east coast hip hop,2,2004,2006
acoustic pop,edm,2,2013,2014
acoustic pop,electro,1,2013,2013
acoustic pop,electropop,1,2014,2014
acoustic pop,electropowerpop,1,2008,2008
acoustic pop,emo,4,2005,2013
acoustic pop,florida rap,1,2008,2008
acoustic pop,folk-pop,2,2004,2013
acoustic pop,g funk,5,2004,2014
acoustic pop,gangster rap,6,2004,2012
acoustic pop,garage rock,3,2004,2010
acoustic pop,glam metal,1,2006,2006
acoustic pop,gospel r&b,1,2004,2004
acoustic pop,hardcore hip hop,1,2004,2004
acoustic pop,hip hop,3,2005,2013
acoustic pop,hip pop,4,2004,2013
acoustic pop,house,1,2014,2014
acoustic pop,idol,2,2003,2008
acoustic pop,indie pop rap,1,2009,2009
acoustic pop,indie r&b,1,2008,2008
acoustic pop,indie rock,1,2005,2005
acoustic pop,la indie,1,2013,2013
acoustic pop,latin,1,2006,2006
acoustic pop,latin viral pop,1,2014,2014
acoustic pop,metropopolis,1,2014,2014
acoustic pop,modern alternative rock,2,2012,2014
acoustic pop,modern rock,4,2002,2014
acoustic pop,nashville indie,1,2013,2013
acoustic pop,neo mellow,4,2004,2013
acoustic pop,neo soul,1,2004,2004
acoustic pop,new orleans rap,1,2008,2008
acoustic pop,nu metal,1,2006,2006
acoustic pop,nyc rap,3,2005,2014
acoustic pop,permanent wave,2,2008,2012
acoustic pop,pop,4,2004,2008
acoustic pop,pop edm,1,2013,2013
acoustic pop,pop rap,2,2004,2014
acoustic pop,pop rock,1,2012,2012
acoustic pop,r&b,4,2004,2014
acoustic pop,reggae fusion,1,2009,2009
acoustic pop,soca,1,2004,2004
acoustic pop,tropical house,1,2014,2014
acoustic pop,uk pop,1,2013,2013
adult standards,-,3,2021,2023
adult standards,acoustic pop,1,2010,2010
adult standards,afro dancehall,1,2022,2022
adult standards,alternative metal,1,2010,2010
adult standards,alternative r&b,1,2022,2022
adult standards,alternative rock,1,2010,2010
adult standards,art pop,1,2022,2022
adult standards,atl hip hop,2,2022,2023
adult standards,atl trap,1,2023,2023
adult standards,british soul,1,2022,2022
adult standards,bubblegum dance,1,2023,2023
adult standards,canadian contemporary r&b,2,2022,2023
adult standards,canadian hip hop,2,2022,2023
adult standards,canadian pop,1,2022,2022
adult standards,chicago drill,2,2022,2023
adult standards,colombian pop,2,2021,2023
adult standards,conscious hip hop,1,2023,2023
adult standards,contemporary country,1,2023,2023
adult standards,country rap,1,2022,2022
adult standards,crunk,1,2022,2022
adult standards,dance pop,2,2022,2023
adult standards,dfw rap,2,2022,2023
adult standards,electropop,1,2023,2023
adult standards,emo,1,2010,2010
adult standards,escape room,1,2022,2022
adult standards,florida rap,2,2022,2023
adult standards,garage rock,1,2010,2010
adult standards,gauze pop,1,2022,2022
adult standards,glam rock,1,2022,2022
adult standards,hip hop,2,2022,2023
adult standards,latin viral pop,1,2022,2022
adult standards,modern rock,1,2022,2022
adult standards,neo mellow,1,2010,2010
adult standards,philly rap,1,2023,2023
adult standards,pop,2,2022,2023
adult standards,post-teen pop,2,2010,2022
adult standards,r&b,1,2010,2010
adult standards,reggaeton,2,2022,2023
afro dancehall,-,2,2021,2022
afro dancehall,adult standards,1,2021,2021
afro dancehall,alternative r&b,1,2022,2022
afro dancehall,art pop,1,2022,2022
afro dancehall,atl hip hop,2,2021,2022
afro dancehall,australian country,1,2021,2021
afro dancehall,boy band,2,2016,2021
afro dancehall,brostep,1,2021,2021
afro dancehall,canadian contemporary r&b,1,2022,2022
afro dancehall,canadian hip hop,2,2021,2022
afro dancehall,chicago rap,2,2016,2021
afro dancehall,colombian pop,1,2021,2021
afro dancehall,complextro,1,2016,2016
afro dancehall,conscious hip hop,1,2016,2016
afro dancehall,country rap,2,2021,2022
afro dancehall,crunk,2,2021,2022
afro dancehall,dfw rap,2,2016,2022
afro dancehall,electro,1,2016,2016
afro dancehall,electropop,1,2021,2021
afro dancehall,escape room,2,2021,2022
afro dancehall,florida rap,1,2022,2022
afro dancehall,gauze pop,2,2021,2022
afro dancehall,hip hop,2,2021,2022
afro dancehall,latin viral pop,1,2022,2022
afro dancehall,modern alternative rock,1,2016,2016
afro dancehall,modern rock,1,2016,2016
afro dancehall,pinoy hip hop,1,2016,2016
afro dancehall,rap,1,2021,2021
alaska indie,acoustic pop,2,2002,2003
alaska indie,alternative hip hop,2,2002,2003
alaska indie,australian pop,1,2003,2003
alaska indie,battle rap,1,2003,2003
alaska indie,blues-rock,1,2003,2003
alaska indie,boy band,1,2002,2002
alaska indie,british soul,1,2003,2003
alaska indie,canadian latin,1,2002,2002
alaska indie,chicago rap,1,2003,2003
alaska indie,chicano rap,1,2003,2003
alaska indie,colombian pop,1,2002,2002
alaska indie,dancehall,1,2003,2003
alaska indie,detroit hip hop,1,2003,2003
alaska indie,folk rock,1,2003,2003
alaska indie,folk-pop,1,2003,2003
alaska indie,funk,1,2003,2003
alaska indie,idol,1,2003,2003
alaska indie,modern rock,1,2002,2002
album rock,alternative hip hop,1,2001,2001
album rock,australian pop,1,2001,2001
album rock,big room,1,2015,2015
album rock,bmore,1,2015,2015
album rock,british soul,1,2015,2015
album rock,brostep,1,2015,2015
album rock,cali rap,1,2015,2015
album rock,canadian pop,2,2001,2015
album rock,celtic,1,2001,2001
album rock,conscious hip hop,1,2001,2001
album rock,contemporary country,1,2015,2015
album rock,crunk,1,2015,2015
album rock,deep groove house,1,2015,2015
album rock,disco,1,2001,2001
album rock,downtempo,1,2001,2001
album rock,edm,1,2015,2015
album rock,electropop,1,2015,2015
album rock,folk-pop,1,2015,2015
album rock,houston rap,1,2015,2015
album rock,indie folk,1,2015,2015
album rock,indie pop,1,2015,2015
album rock,jam band,1,2001,2001
album rock,modern alternative rock,1,2015,2015
album rock,neo mellow,1,2015,2015
album rock,nyc rap,1,2001,2001
album rock,pinoy hip hop,1,2015,2015
album rock,reggae fusion,1,2015,2015
album rock,scorecore,1,2015,2015
album rock,viral trap,1,2015,2015
alternative dance,acoustic pop,1,2010,2010
alternative dance,adult standards,1,2010,2010
alternative dance,alternative metal,1,2010,2010
alternative dance,alternative rock,1,2010,2010
alternative dance,canadian hip hop,1,2010,2010
alternative dance,chicago rap,1,2010,2010
alternative dance,comic,1,2013,2013
alternative dance,detroit hip hop,1,2010,2010
alternative dance,emo,1,2010,2010
alternative dance,garage rock,1,2010,2010
alternative dance,hip pop,1,2010,2010
alternative dance,la indie,1,2013,2013
alternative dance,nashville indie,1,2013,2013
alternative dance,neo mellow,1,2010,2010
alternative dance,post-teen pop,1,2010,2010
alternative dance,r&b,1,2010,2010
alternative dance,uk pop,1,2013,2013
alternative hip hop,acoustic pop,3,2000,2006
alternative hip hop,alternative rock,1,2000,2000
alternative hip hop,australian pop,2,2001,2003
alternative hip hop,baroque pop,1,2006,2006
alternative hip hop,baton rouge rap,1,2005,2005
alternative hip hop,blues-rock,2,2000,2003
alternative hip hop,boy band,2,2002,2005
alternative hip hop,british soul,1,2003,2003
alternative hip hop,cali rap,1,2006,2006
alternative hip hop,canadian latin,2,2002,2006
alternative hip hop,canadian pop,1,2001,2001
alternative hip hop,cantautor,1,2005,2005
alternative hip hop,celtic,1,2001,2001
alternative hip hop,chicago rap,4,2000,2006
alternative hip hop,chicano rap,1,2003,2003
alternative hip hop,colombian pop,3,2002,2006
alternative hip hop,conscious hip hop,2,2001,2005
alternative hip hop,contemporary country,1,2006,2006
alternative hip hop,country,1,2000,2000
alternative hip hop,crunk,2,2000,2005
alternative hip hop,dancehall,1,2003,2003
alternative hip hop,deep latin christian,1,2000,2000
alternative hip hop,deep pop r&b,2,2000,2005
alternative hip hop,detroit hip hop,2,2005,2006
alternative hip hop,dirty south rap,1,2005,2005
alternative hip hop,downtempo,1,2001,2001
alternative hip hop,east coast hip hop,2,2000,2006
alternative hip hop,emo,1,2005,2005
alternative hip hop,folk-pop,1,2003,2003
alternative hip hop,funk,1,2003,2003
alternative hip hop,gangster rap,2,2005,2006
alternative hip hop,glam metal,1,2006,2006
alternative hip hop,gospel,1,2000,2000
alternative hip hop,hip hop,2,2005,2006
alternative hip hop,hip pop,1,2005,2005
alternative hip hop,idol,1,2003,2003
alternative hip hop,indie rock,1,2005,2005
alternative hip hop,jam band,1,2001,2001
alternative hip hop,latin,2,2000,2006
alternative hip hop,neo mellow,1,2006,2006
alternative hip hop,neo soul,1,2000,2000
alternative hip hop,nu metal,1,2006,2006
alternative hip hop,nyc rap,2,2001,2005
alternative hip hop,pop,2,2005,2006
alternative hip hop,r&b,1,2006,2006
alternative metal,-,5,2001,2012
alternative metal,acoustic pop,8,2000,2012
alternative metal,alabama rap,1,2007,2007
alternative metal,alaska indie,2,2002,2003
alternative metal,album rock,1,2001,2001
alternative metal,alternative hip hop,6,2000,2006
alternative metal,alternative r&b,1,2012,2012
alternative metal,alternative rock,6,2000,2010
alternative metal,atl hip hop,8,2001,2012
alternative metal,australian country,1,2004,2004
alternative metal,australian dance,2,2002,2012
alternative metal,australian pop,5,2001,2012
alternative metal,baroque pop,1,2006,2006
alternative metal,bassline,1,2008,2008
alternative metal,baton rouge rap,2,2005,2008
alternative metal,battle rap,2,2003,2004
alternative metal,bergen indie,1,2012,2012
alternative metal,big beat,1,2002,2002
alternative metal,blues-rock,4,2000,2008
alternative metal,bounce,1,2004,2004
alternative metal,boy band,5,2002,2012
alternative metal,british soul,4,2001,2012
alternative metal,bubblegum dance,1,2006,2006
alternative metal,cali rap,1,2006,2006
alternative metal,canadian country,1,2003,2003
alternative metal,canadian hip hop,1,2012,2012
alternative metal,canadian latin,4,2001,2007
alternative metal,canadian pop,6,2001,2009
alternative metal,cantautor,1,2005,2005
alternative metal,ccm,1,2004,2004
alternative metal,celtic,2,2001,2004
alternative metal,chicago rap,7,2000,2012
alternative metal,chicano rap,4,2003,2008
alternative metal,classic soul,1,2001,2001
alternative metal,colombian pop,4,2002,2009
alternative metal,conscious hip hop,7,2000,2012
alternative metal,contemporary country,3,2002,2008
alternative metal,country,1,2000,2000
alternative metal,crunk,8,2000,2008
alternative metal,dancehall,3,2002,2004
alternative metal,deep latin christian,1,2000,2000
alternative metal,deep pop r&b,4,2000,2012
alternative metal,deep southern trap,1,2008,2008
alternative metal,detroit hip hop,6,2002,2007
alternative metal,dirty south rap,5,2004,2008
alternative metal,disco,1,2001,2001
alternative metal,downtempo,1,2001,2001
alternative metal,east coast hip hop,4,2000,2006
alternative metal,edm,1,2012,2012
alternative metal,electropowerpop,1,2008,2008
alternative metal,emo,5,2005,2010
alternative metal,eurodance,1,2002,2002
alternative metal,europop,2,2002,2003
alternative metal,florida rap,1,2008,2008
alternative metal,folk rock,1,2003,2003
alternative metal,folk-pop,4,2002,2012
alternative metal,funk,1,2003,2003
alternative metal,g funk,5,2004,2012
alternative metal,gangster rap,8,2002,2012
alternative metal,garage rock,2,2009,2010
alternative metal,girl group,1,2001,2001
alternative metal,glam metal,1,2006,2006
alternative metal,gospel,1,2000,2000
alternative metal,gospel r&b,2,2003,2004
alternative metal,hardcore hip hop,1,2004,2004
alternative metal,hip hop,3,2005,2007
alternative metal,hip pop,5,2001,2008
alternative metal,idol,3,2003,2008
alternative metal,indie pop,1,2012,2012
alternative metal,indie pop rap,1,2009,2009
alternative metal,indie r&b,1,2008,2008
alternative metal,indie rock,1,2005,2005
alternative metal,irish rock,3,2001,2007
alternative metal,jam band,1,2001,2001
alternative metal,latin,2,2000,2006
alternative metal,modern alternative rock,1,2012,2012
alternative metal,modern rock,4,2002,2012
alternative metal,motown,1,2003,2003
alternative metal,neo mellow,9,2001,2009
alternative metal,neo r&b,1,2008,2008
alternative metal,neo soul,2,2000,2004
alternative metal,neon pop punk,1,2007,2007
alternative metal,new orleans rap,1,2008,2008
alternative metal,nu metal,1,2006,2006
alternative metal,nyc rap,3,2001,2009
alternative metal,permanent wave,4,2003,2012
alternative metal,philly rap,1,2003,2003
alternative metal,pop,7,2002,2012
alternative metal,pop house,1,2002,2002
alternative metal,pop rap,3,2004,2008
alternative metal,pop rock,1,2012,2012
alternative metal,r&b,5,2002,2010
alternative metal,reggae fusion,1,2009,2009
alternative metal,soca,1,2004,2004
alternative r&b,-,3,2005,2022
alternative r&b,acoustic pop,1,2005,2005
alternative r&b,adult standards,1,2021,2021
alternative r&b,afro dancehall,1,2021,2021
alternative r&b,alternative dance,1,2013,2013
alternative r&b,alternative hip hop,1,2005,2005
alternative r&b,alternative metal,1,2005,2005
alternative r&b,alternative rock,1,2005,2005
alternative r&b,art pop,3,2013,2022
alternative r&b,atl hip hop,3,2005,2022
alternative r&b,australian country,2,2017,2021
alternative r&b,australian pop,2,2005,2017
alternative r&b,baton rouge rap,1,2005,2005
alternative r&b,boy band,2,2005,2021
alternative r&b,british soul,1,2017,2017
alternative r&b,broadway,1,2014,2014
alternative r&b,brostep,1,2021,2021
alternative r&b,canadian contemporary r&b,1,2022,2022
alternative r&b,canadian hip hop,2,2021,2022
alternative r&b,candy pop,1,2013,2013
alternative r&b,cantautor,1,2005,2005
alternative r&b,chamber pop,1,2013,2013
alternative r&b,chicago rap,2,2005,2021
alternative r&b,chicano rap,1,2005,2005
alternative r&b,colombian pop,2,2005,2021
alternative r&b,comic,1,2013,2013
alternative r&b,complextro,1,2017,2017
alternative r&b,conscious hip hop,2,2005,2012
alternative r&b,contemporary country,1,2005,2005
alternative r&b,country rap,2,2021,2022
alternative r&b,crunk,3,2005,2022
alternative r&b,dance pop,1,2005,2005
alternative r&b,deep pop r&b,1,2005,2005
alternative r&b,detroit hip hop,2,2005,2014
alternative r&b,dfw rap,1,2022,2022
alternative r&b,dirty south rap,2,2005,2014
alternative r&b,east coast hip hop,1,2005,2005
alternative r&b,edm,2,2013,2014
alternative r&b,electropop,2,2014,2021
alternative r&b,emo,2,2005,2013
alternative r&b,escape room,2,2021,2022
alternative r&b,florida rap,1,2022,2022
alternative r&b,g funk,3,2005,2014
alternative r&b,gangster rap,1,2005,2005
alternative r&b,gauze pop,2,2021,2022
alternative r&b,hip hop,4,2005,2022
alternative r&b,hip pop,1,2005,2005
alternative r&b,house,1,2014,2014
alternative r&b,indie rock,1,2005,2005
alternative r&b,la indie,1,2013,2013
alternative r&b,latin viral pop,2,2014,2022
alternative r&b,metropopolis,1,2014,2014
alternative r&b,nashville indie,1,2013,2013
alternative r&b,neo mellow,2,2005,2013
alternative r&b,nyc rap,2,2005,2014
alternative r&b,permanent wave,2,2005,2017
alternative r&b,pop,1,2005,2005
alternative r&b,pop rap,1,2014,2014
alternative r&b,r&b,1,2014,2014
alternative r&b,rap,1,2021,2021
alternative r&b,reggaeton,1,2021,2021
alternative r&b,tropical house,1,2014,2014
alternative r&b,uk pop,1,2013,2013
alternative rock,acoustic pop,4,2000,2006
alternative rock,alabama rap,1,2007,2007
alternative rock,alaska indie,1,2002,2002
alternative rock,alternative hip hop,3,2002,2006
alternative rock,atl hip hop,2,2005,2006
alternative rock,baroque pop,1,2006,2006
alternative rock,baton rouge rap,1,2005,2005
alternative rock,boy band,2,2002,2005
alternative rock,bubblegum dance,1,2006,2006
alternative rock,cali rap,1,2006,2006
alternative rock,canadian latin,2,2002,2006
alternative rock,cantautor,1,2005,2005
alternative rock,chicago rap,4,2000,2007
alternative rock,colombian pop,3,2002,2006
alternative rock,conscious hip hop,2,2002,2005
alternative rock,contemporary country,1,2006,2006
alternative rock,country,1,2000,2000
alternative rock,crunk,3,2000,2005
alternative rock,dancehall,1,2002,2002
alternative rock,deep latin christian,1,2000,2000
alternative rock,deep pop r&b,1,2005,2005
alternative rock,detroit hip hop,2,2005,2006
alternative rock,dirty south rap,1,2005,2005
alternative rock,east coast hip hop,3,2000,2006
alternative rock,emo,2,2005,2010
alternative rock,eurodance,1,2002,2002
alternative rock,folk-pop,1,2002,2002
alternative rock,g funk,1,2005,2005
alternative rock,gangster rap,3,2002,2006
alternative rock,garage rock,1,2010,2010
alternative rock,glam metal,1,2006,2006
alternative rock,gospel,1,2000,2000
alternative rock,hip hop,2,2005,2006
alternative rock,hip pop,1,2005,2005
alternative rock,idol,1,2006,2006
alternative rock,indie rock,1,2005,2005
alternative rock,latin,1,2006,2006
alternative rock,modern rock,2,2002,2006
alternative rock,neo mellow,3,2002,2006
alternative rock,nu metal,1,2006,2006
alternative rock,nyc rap,1,2005,2005
alternative rock,permanent wave,1,2005,2005
alternative rock,pop,2,2005,2006
alternative rock,pop house,1,2002,2002
alternative rock,pop rap,1,2007,2007
alternative rock,r&b,3,2002,2010
art pop,alternative dance,1,2013,2013
art pop,comic,1,2013,2013
art pop,detroit hip hop,1,2014,2014
art pop,edm,1,2014,2014
art pop,electropop,1,2014,2014
art pop,escape room,1,2022,2022
art pop,florida rap,1,2022,2022
art pop,g funk,1,2014,2014
art pop,la indie,1,2013,2013
art pop,latin viral pop,1,2014,2014
art pop,nashville indie,1,2013,2013
art pop,r&b,1,2014,2014
art pop,uk pop,1,2013,2013
atl hip hop,-,14,2000,2023
atl hip hop,acoustic pop,11,2000,2014
atl hip hop,adult standards,2,2010,2021
atl hip hop,afro dancehall,1,2016,2016
atl hip hop,alabama rap,1,2007,2007
atl hip hop,alaska indie,2,2002,2003
atl hip hop,album rock,2,2001,2015
atl hip hop,alternative dance,2,2010,2013
atl hip hop,alternative hip hop,6,2000,2006
atl hip hop,alternative metal,4,2000,2010
atl hip hop,alternative r&b,4,2012,2017
atl hip hop,alternative rock,4,2000,2010
atl hip hop,art pop,3,2013,2022
atl hip hop,atl trap,1,2023,2023
atl hip hop,australian country,4,2004,2021
atl hip hop,australian dance,3,2012,2016
atl hip hop,australian hip hop,1,2014,2014
atl hip hop,australian pop,11,2000,2019
atl hip hop,baroque pop,2,2006,2019
atl hip hop,bass trap,1,2013,2013
atl hip hop,bassline,2,2007,2008
atl hip hop,baton rouge rap,2,2005,2008
atl hip hop,battle rap,2,2003,2004
atl hip hop,bergen indie,1,2012,2012
atl hip hop,big room,4,2011,2015
atl hip hop,blues-rock,4,2000,2008
atl hip hop,bmore,2,2015,2019
atl hip hop,bounce,1,2004,2004
atl hip hop,boy band,9,2002,2021
atl hip hop,british soul,8,2001,2017
atl hip hop,broadway,1,2014,2014
atl hip hop,brostep,4,2015,2021
atl hip hop,bubblegum dance,1,2006,2006
atl hip hop,cali rap,5,2006,2019
atl hip hop,canadian contemporary r&b,2,2016,2022
atl hip hop,canadian country,1,2003,2003
atl hip hop,canadian hip hop,12,2010,2023
atl hip hop,canadian latin,4,2001,2007
atl hip hop,canadian pop,12,2001,2019
atl hip hop,candy pop,2,2013,2014
atl hip hop,cantautor,1,2005,2005
atl hip hop,ccm,2,2004,2019
atl hip hop,celtic,2,2001,2004
atl hip hop,celtic rock,3,2010,2013
atl hip hop,chamber pop,1,2013,2013
atl hip hop,chicago drill,1,2020,2020
atl hip hop,chicago rap,13,2000,2021
atl hip hop,chicano rap,3,2003,2007
atl hip hop,colombian pop,7,2002,2021
atl hip hop,comic,1,2013,2013
atl hip hop,complextro,5,2013,2018
atl hip hop,conscious hip hop,9,2000,2019
atl hip hop,contemporary country,11,2006,2019
atl hip hop,country,1,2000,2000
atl hip hop,country rap,4,2019,2022
atl hip hop,crunk,10,2000,2022
atl hip hop,cubaton,1,2014,2014
atl hip hop,dance pop,1,2007,2007
atl hip hop,dancehall,3,2002,2004
atl hip hop,deep dance pop,1,2011,2011
atl hip hop,deep groove house,1,2015,2015
atl hip hop,deep latin christian,1,2000,2000
atl hip hop,deep pop r&b,4,2000,2012
atl hip hop,deep southern trap,2,2007,2008
atl hip hop,detroit hip hop,13,2000,2020
atl hip hop,dfw rap,4,2016,2019
atl hip hop,dirty south rap,11,2004,2019
atl hip hop,disco,1,2001,2001
atl hip hop,downtempo,1,2001,2001
atl hip hop,east coast hip hop,8,2000,2020
atl hip hop,edm,9,2011,2019
atl hip hop,electro,3,2013,2017
atl hip hop,electropop,8,2009,2023
atl hip hop,electropowerpop,1,2008,2008
atl hip hop,emo,5,2005,2013
atl hip hop,emo rap,3,2017,2019
atl hip hop,escape room,2,2021,2022
atl hip hop,eurodance,1,2002,2002
atl hip hop,europop,2,2002,2003
atl hip hop,florida rap,5,2008,2023
atl hip hop,folk rock,2,2003,2011
atl hip hop,folk-pop,6,2002,2015
atl hip hop,francoton,2,2017,2018
atl hip hop,funk,1,2003,2003
atl hip hop,g funk,10,2000,2014
atl hip hop,gangster rap,9,2002,2016
atl hip hop,garage rock,2,2009,2010
atl hip hop,gauze pop,1,2021,2021
atl hip hop,girl group,2,2000,2001
atl hip hop,glam metal,1,2006,2006
atl hip hop,gospel,1,2000,2000
atl hip hop,gospel r&b,2,2003,2004
atl hip hop,hardcore hip hop,1,2004,2004
atl hip hop,hip hop,10,2000,2023
atl hip hop,hip pop,7,2000,2013
atl hip hop,hollywood,1,2019,2019
atl hip hop,house,2,2014,2016
atl hip hop,houston rap,1,2015,2015
atl hip hop,idol,2,2003,2008
atl hip hop,indie folk,1,2015,2015
atl hip hop,indie pop,5,2010,2018
atl hip hop,indie pop rap,1,2009,2009
atl hip hop,indie poptimism,1,2014,2014
atl hip hop,indie r&b,2,2008,2018
atl hip hop,indie rock,1,2005,2005
atl hip hop,irish rock,1,2007,2007
atl hip hop,jam band,1,2001,2001
atl hip hop,la indie,1,2013,2013
atl hip hop,latin,8,2000,2020
atl hip hop,latin viral pop,2,2014,2022
atl hip hop,metropopolis,3,2014,2019
atl hip hop,miami hip hop,1,2016,2016
atl hip hop,modern alternative rock,4,2012,2016
atl hip hop,modern reggae,1,2017,2017
atl hip hop,modern rock,8,2002,2018
atl hip hop,motown,1,2003,2003
atl hip hop,nashville indie,1,2013,2013
