genre,main_genre,artists,degree,strength,betweenness,hits_hub,hits_authority
dream pop,POP,17,80,820,2961.5,0.09854669911686238,0.09854669911686245
alternative dance,ROCK,93,69,817,2397.2,0.08720544341096201,0.08720544341096204
new americana,COUNTRY,45,61,811,3629.116666666667,0.14767572320678418,0.14767572320678413
electropop,POP,29,83,808,14600.366666666667,0.05070757742910202,0.050707577429101924
alternative country,COUNTRY,88,56,806,1,0.173906363524781,0.17390636352478092
rap rock,HIP HOP,113,60,771,2835.3333333333335,0.06213265005106802,0.06213265005106801
contemporary country,COUNTRY,206,27,765,4731,0.02900312313001745,0.029003123130017402
dirty south rap,HIP HOP,48,31,764,4491,0.01598599771181153,0.01598599771181153
rock-and-roll,ROCK,58,50,763,951,0.12271117991874624,0.12271117991874615
permanent wave,ROCK,31,81,757,0,0.18511694791685177,0.1851169479168517
traditional country,COUNTRY,39,41,727,1927,0.08430888346484718,0.08430888346484716
lilith,POP,16,67,724,51,0.165889064333143,0.165889064333143
post-teen pop,POP,106,44,715,10715,0.026800566277896887,0.026800566277896926
neo mellow,R&B,65,69,710,4697,0.08691701134967042,0.08691701134967034
post-disco,ROCK,51,36,700,3943,0.032510877852081954,0.03251087785208198
jazz funk,R&B,28,56,661,15045,0.017915433638553628,0.017915433638553628
power pop,POP,17,64,660,1150,0.14166888226298824,0.14166888226298818
country road,COUNTRY,146,21,657,21,0.025952076914006805,0.0259520769140068
symphonic rock,ROCK,53,46,657,1017.0833333333333,0.19500608745434364,0.19500608745434345
post-punk,ROCK,24,71,650,967,0.098506721116200055,0.09850672111619999
heartland rock,ROCK,38,55,621,0,0.22548616319437556,0.2254861631943756
screamo,ROCK,18,50,621,11165.5,0.010745264412654255,0.01074526441265425
east coast hip hop,HIP HOP,53,31,617,0,0.01218301357136368,0.012183013571363668
emo,ROCK,42,60,614,5588,0.02526512661741895,0.025265126617418924
christian music,R&B,59,28,605,3720.866666666667,0.0020851355046610062,0.002085135504660976
merseybeat,ROCK,33,35,601,108,0.12284458843026705,0.12284458843026697
christian alternative rock,ROCK,48,37,596,19048.36666666667,0.004071007588966681,0.004071007588966677
southern soul,R&B,61,35,596,1898,0.030558983143749736,0.03055898314374976
worship,R&B,61,26,595,3528.7000000000007,0.0014540166946706433,0.0014540166946706771
ccm,R&B,69,23,594,4764.033333333334,0.001456606388509749,0.0014566063885097567
punk,ROCK,15,84,587,22551,0.0580198217797583,0.05801982177975826
slow core,METAL,18,62,584,0,0.08530656562017007,0.08530656562017003
chillwave,ELECTRONIC,24,53,574,0.5,0.05785214047183048,0.05785214047183051
nashville sound,COUNTRY,35,32,561,0,0.059711418147150516,0.059711418147150475
electric blues,BLUES,36,43,527,2823,0.1281390640604197,0.1281390640604197
melodic metalcore,METAL,24,52,526,15780.000000000002,0.010283296818596497,0.010283296818596518
experimental rock,ROCK,15,73,513,1.5,0.07159096420941445,0.07159096420941441
alternative hip hop,HIP HOP,111,32,502,6588.5,0.008354734826812555,0.008354734826812591
uk pop,POP,48,45,500,2.833333333333333,0.01783417914687957,0.01783417914687958
anti-folk,FOLK,13,59,499,0,0.08202027191559379,0.08202027191559376
metalcore,METAL,20,43,494,1562.9999999999998,0.006420589698763636,0.00642058969876363
rockabilly,ROCK,40,49,484,1894,0.07187980857124336,0.07187980857124332
atl hip hop,HIP HOP,92,27,479,0,0.012262410322547119,0.01226241032254712
texas country,COUNTRY,30,35,479,0,0.08057467784529465,0.08057467784529465
synthpop,POP,43,30,474,948,0.10651498525085755,0.10651498525085752
noise rock,ROCK,18,59,470,2.5,0.04949564212035396,0.04949564212035394
europop,POP,25,42,469,11323,0.05173955111257685,0.051739551112576825
country gospel,COUNTRY,48,18,454,1895,0.033117580508554956,0.03311758050855495
jazz fusion,JAZZ,16,53,450,11384,0.03476828525778686,0.034768285257786836
lounge,JAZZ,90,36,448,31915,0.04271926064470791,0.04271926064470787
progressive rock,ROCK,39,37,447,11.083333333333334,0.11943305944828726,0.11943305944828712
pub rock,ROCK,12,56,446,0,0.09742217055986654,0.09742217055986652
edm,ELECTRONIC,30,44,445,21818.616666666665,0.005562332729740407,0.005562332729740417
post-hardcore,ROCK,10,65,445,101,0.027336066112267,0.027336066112266973
protopunk,ROCK,12,48,443,0,0.10967306106936464,0.10967306106936453
tropical house,LATIN,36,47,441,5578.249999999999,0.011541701209535711,0.011541701209535694
electronic,ELECTRONIC,24,70,428,9057.75,0.032121042393003674,0.03212104239300362
nu gaze,ROCK,13,45,427,4.5,0.042763910595647915,0.04276391059564788
speed metal,METAL,15,36,426,8.333333333333332,0.04802802597205899,0.04802802597205896
glam metal,METAL,59,30,425,2,0.12798532363417972,0.1279853236341797
modern country rock,COUNTRY,97,18,414,0,0.011296304432073764,0.011296304432073767
melancholia,OTHER,13,60,407,0,0.08340246240773094,0.08340246240773083
modern blues,BLUES,27,45,401,0,0.08204266339060355,0.08204266339060352
shimmer pop,POP,17,34,385,0,0.04436729880210814,0.04436729880210811
blues,BLUES,43,43,380,4721,0.07031541703158968,0.07031541703158968
deep pop r&b,POP,25,24,378,0,0.011471137838043637,0.011471137838043656
latin,LATIN,60,35,370,27279,0.0017178492056811971,0.0017178492056811885
anthem worship,R&B,73,16,368,0,5.083477679224969e-4,5.083477679224962e-4
industrial metal,METAL,51,29,367,5654.166666666666,0.025642774255815272,0.02564277425581526
jangle pop,POP,18,51,351,0,0.06239818629178624,0.06239818629178621
yacht rock,ROCK,20,32,349,948,0.13145797864331063,0.13145797864331063
british invasion,POP,20,31,347,0,0.08788883322813922,0.08788883322813917
indie poptimism,POP,17,40,344,1748.5,0.026524413710078593,0.02652441371007857
industrial rock,ROCK,30,48,343,941.1666666666666,0.02829941737902061,0.028299417379020596
electro house,ELECTRONIC,27,39,338,3808.2,0.0031615354914443757,0.003161535491444364
vocal jazz,JAZZ,51,41,334,2089,0.015798663592638224,0.01579866359263823
metropopolis,POP,10,47,333,0.5,0.028093465082097285,0.028093465082097275
british blues,BLUES,18,34,329,0,0.09922767865257602,0.09922767865257598
jazz,JAZZ,24,32,329,2985.1666666666665,0.0030967427921227923,0.003096742792122793
christian rock,ROCK,20,35,325,22605.5,0.0073242117244158,0.0073242117244157945
southern rock,ROCK,22,29,317,946,0.11100481155745452,0.11100481155745451
cool jazz,JAZZ,24,27,311,423.3333333333333,0.0024527308391175543,0.0024527308391175616
underground hip hop,HIP HOP,19,28,311,1893,0.006395957734966011,0.006395957734966033
alternative pop,POP,36,46,308,0,0.038439638118983,0.038439638118983016
acoustic pop,POP,79,30,307,0,0.03549314277628243,0.035493142776282446
experimental,AVANT-GARDE,8,61,305,13,0.04525585029529637,0.045255850295296315
death metal,METAL,14,41,304,5667.666666666666,0.017359196692802198,0.017359196692802184
bebop,JAZZ,26,29,303,10.333333333333332,0.002046500429563704,0.0020465004295636842
conscious hip hop,HIP HOP,35,31,301,0,0.00593518966135442,0.005935189661354421
rhythm and blues,BLUES,25,30,301,951,0.016384877910948954,0.016384877910948944
progressive metal,METAL,17,45,301,989.5000000000001,0.031262855394410975,0.03126285539441095
tropical,LATIN,45,29,300,7497.5,0.0013049066751326204,0.0013049066751326477
hip house,ELECTRONIC,15,34,297,6904,0.005327553955487549,0.005327553955487531
contemporary post-bop,ROCK,22,27,287,2295.8333333333335,0.0020640102371040987,0.0020640102371040896
soul jazz,R&B,16,33,287,955,0.0029472940241533105,0.0029472940241533005
world worship,R&B,41,18,286,136.2,3.6821488971498247e-4,3.6821488971497293e-4
piano rock,ROCK,7,53,285,0,0.056496712847736386,0.056496712847736365
crunk,HIP HOP,23,15,280,0,0.005884914039519652,0.00588491403951965
west coast rap,HIP HOP,34,15,280,0,0.004442854110983424,0.0044428541109834425
jam band,ROCK,17,41,279,2801,0.07242266926359789,0.07242266926359783
thrash metal,METAL,9,27,275,0,0.03134724101987139,0.03134724101987137
classic garage rock,ROCK,36,30,272,0,0.05366143905481194,0.05366143905481193
neon pop punk,ROCK,16,26,271,944,0.008017435677939442,0.008017435677939446
trip hop,ELECTRONIC,15,54,266,1231.25,0.018709294681419224,0.018709294681419224
glam rock,ROCK,17,38,261,0,0.08020659296748135,0.0802065929674813
doo-wop,R&B,24,23,259,0,0.0268506177939288,0.026850617793928784
latin pop,POP,30,31,256,19529.5,0.0014783823409570344,0.00147838234095703
britpop,POP,35,37,251,0,0.05080166879619126,0.05080166879619122
electro,ELECTRONIC,30,25,250,947,0.006347848224423567,0.006347848224423565
cowboy western,COUNTRY,29,13,247,0,0.019005481602807125,0.01900548160280712
old school hip hop,HIP HOP,17,23,247,0,0.004213764602677652,0.004213764602677669
easy listening,POP,54,24,240,1916,0.019441965058708502,0.019441965058708485
pop emo,POP,12,30,239,1808,0.005638808126059014,0.005638808126059008
indiecoustica,ROCK,26,27,235,1274,0.015086325101512966,0.015086325101512948
rap metal,HIP HOP,34,21,232,0,0.019919885364511728,0.019919885364511718
grunge,ROCK,24,27,230,0,0.044262787477596176,0.044262787477596134
preverb,OTHER,4,39,225,0,0.023894454625046024,0.02389445462504602
australian pop,POP,52,29,224,2343,0.010807275329496296,0.010807275329496302
garage psych,ROCK,6,44,224,0,0.023875719019314876,0.023875719019314873
canterbury scene,ROCK,28,30,220,1.25,0.03889763166608375,0.03889763166608373
skate punk,ROCK,8,31,220,2332,0.00800053146418087,0.00800053146418087
country dawn,COUNTRY,54,16,218,948,0.006773549325463652,0.0067735493254636615
g funk,HIP HOP,43,18,217,948,0.003128567439752049,0.0031285674397520534
neo-psychedelic,ROCK,6,42,216,0,0.024840728231225392,0.024840728231225385
punk blues,ROCK,10,41,215,0,0.03575017093160015,0.03575017093160014
hard bop,JAZZ,18,21,214,0,8.780311790355463e-4,8.78031179035552e-4
dreamo,ROCK,36,24,213,0,0.01129028516714111,0.0112902851671411
philly soul,R&B,24,21,213,0,0.009585960425995967,0.009585960425995962
big room,ELECTRONIC,31,20,209,0.3333333333333333,0.0020775720533852617,0.0020775720533852625
modern blues rock,ROCK,9,28,208,0,0.03857019056282703,0.03857019056282702
turntablism,HIP HOP,30,20,207,0,0.003019866256769948,0.0030198662567699507
baroque pop,POP,12,42,205,0,0.03829845940861171,0.038298459408611686
deathcore,METAL,24,30,202,1892.5,0.0013826168673123883,0.0013826168673123922
power metal,METAL,10,28,198,2836,0.021861927877970172,0.021861927877970165
funk metal,METAL,26,26,197,66,0.025654705367691443,0.025654705367691436
banda,LATIN,41,19,194,6594,6.538214418320525e-6,6.538214418321061e-6
freakbeat,ROCK,27,21,191,0,0.036353683560502725,0.036353683560502725
melodic hardcore,ROCK,14,30,190,2779,0.0024840170975259,0.0024840170975259043
regional mexican,LATIN,41,12,190,1885.5,1.2834796666365248e-5,1.283479666636678e-5
girl group,POP,12,31,189,0,0.011185137241141348,0.011185137241141351
alternative r&b,R&B,37,28,188,936,0.005437914589750571,0.005437914589750567
zolo,AVANT-GARDE,11,35,183,0,0.038077183624276624,0.038077183624276596
old school thrash,METAL,9,19,181,0,0.01967758283672919,0.019677582836729178
grupera,LATIN,34,13,180,13078,1.5864570093385e-5,1.5864570093389833e-5
alternative emo,ROCK,42,22,180,0,0.004249450358544205,0.004249450358544195
stoner rock,ROCK,14,32,178,3761.5,0.017519462430142865,0.017519462430142848
boy band,POP,47,22,175,0,0.0067522744932413045,0.006752274493241318
shoegaze,ROCK,5,40,174,0,0.020309242399261195,0.0203092423992612
norteno,LATIN,37,12,169,0.5,6.507980137214697e-6,6.507980137211241e-6
red dirt,COUNTRY,12,17,169,1,0.018062426458077162,0.018062426458077156
viral pop,POP,18,19,169,948,0.007818990679294351,0.007818990679294355
chamber psych,CLASSICAL,4,37,167,0,0.026332418769848598,0.026332418769848587
escape room,OTHER,11,35,163,14,0.0074586223645725395,0.0074586223645725465
deep new americana,COUNTRY,12,24,161,0,0.029805714587408244,0.029805714587408216
gbvfi,OTHER,11,26,160,0,0.01716733217265302,0.01716733217265302
comic,OTHER,31,40,159,4728,0.015722571359203314,0.015722571359203307
traditional blues,BLUES,15,25,159,9,0.019728150054158154,0.01972815005415815
neo-synthpop,POP,14,27,157,0,0.012680526229813999,0.012680526229813995
experimental pop,POP,5,36,156,0,0.01678299869578022,0.01678299869578022
redneck,COUNTRY,21,18,156,1652,0.005782164770876374,0.005782164770876378
latin hip hop,HIP HOP,21,19,155,915,8.749172056557254e-4,8.749172056557238e-4
progressive bluegrass,COUNTRY,11,20,154,1358,0.019218702793399704,0.019218702793399708
memphis soul,R&B,18,16,153,0,0.008164905978912547,0.008164905978912552
brooklyn indie,ROCK,6,26,153,0,0.019071565779763527,0.019071565779763527
classic canadian rock,ROCK,20,24,152,0,0.056996036159555535,0.05699603615955553
progressive house,ELECTRONIC,17,19,152,1897,0.0011371750481158093,0.0011371750481158145
roots worship,FOLK,11,17,149,0.3333333333333333,0.0012183707035644557,0.001218370703564456
mathcore,ROCK,7,27,149,3,0.0014031833343797738,0.0014031833343797577
west coast trap,HIP HOP,14,12,147,3,0.0019516551410497175,0.0019516551410497251
christian pop,POP,22,13,145,0,2.053190724418199e-4,2.0531907244181e-4
canadian pop,POP,18,40,145,0,0.01760161229074284,0.017601612290742835
la indie,ROCK,6,24,144,0,0.021135949605224153,0.021135949605224143
reggaeton,LATIN,25,11,143,2840,8.247427072912754e-4,8.24742707291263e-4
hyphy,HIP HOP,13,12,142,0,0.0017706650845777745,0.0017706650845777851
canadian indie,ROCK,11,35,142,948,0.019804971855965046,0.019804971855965036
swing,JAZZ,19,23,140,2791,0.004216767002488613,0.004216767002488608
crossover thrash,METAL,13,22,140,913,0.008657249551659581,0.00865724955165957
indie punk,ROCK,5,33,138,0,0.012694529987119563,0.012694529987119558
country pop,POP,40,9,136,0,0.002656012983693716,0.002656012983693719
pixie,OTHER,5,22,134,0,0.001713485224652738,0.0017134852246527372
chicago soul,R&B,28,16,133,0,0.005674015476444299,0.0056740154764442965
post-screamo,ROCK,10,16,132,0,0.0013611364639565015,0.0013611364639565043
sludge metal,METAL,11,23,132,958.5,0.006634728096500781,0.006634728096500768
stoner metal,METAL,12,23,130,1875.5,0.009080692695421812,0.009080692695421807
big band,JAZZ,10,20,129,15,0.0019305697556485798,0.0019305697556485724
progressive electro house,ELECTRONIC,17,14,128,0,0.0011789338371129307,0.001178933837112932
uk post-punk,ROCK,8,26,127,0,0.021211721355734604,0.021211721355734584
progressive post-hardcore,ROCK,7,20,126,104,0.002080276998570036,0.002080276998570036
anthem emo,ROCK,24,16,126,0.5,0.0019050687298913258,0.0019050687298913262
eurodance,ELECTRONIC,20,12,125,1908,0.0021970192745664895,0.002197019274566486
canadian singer-songwriter,FOLK,3,27,124,0,0.03390671278874106,0.03390671278874104
chicago rap,HIP HOP,21,21,123,0,0.0027245463623119972,0.002724546362312004
candy pop,POP,34,30,123,0,0.011535286831131962,0.011535286831131954
no wave,ROCK,6,31,122,0,0.015311872565680562,0.015311872565680559
neo classical metal,METAL,8,18,121,944,0.015824442856283743,0.01582444285628374
ska,REGGAE,5,22,121,13081,0.008734351632618475,0.008734351632618468
funk rock,ROCK,9,27,121,0,0.020688009840794164,0.02068800984079416
bubblegum dance,POP,29,14,120,0,0.0035037095428696956,0.0035037095428696943
melodic death metal,METAL,11,21,120,948.1666666666667,0.004145391821315702,0.004145391821315693
soundtrack,CLASSICAL,12,15,118,5695,8.645687581268693e-6,8.645687581264914e-6
soul blues,R&B,8,20,118,0,0.007937383391177855,0.007937383391177858
deep southern trap,HIP HOP,16,11,117,0,0.0022100541480068606,0.0022100541480068675
djent,METAL,8,22,116,1828,0.0010537850864297113,0.0010537850864297104
ska punk,ROCK,6,14,115,931,0.0019698136571796553,0.001969813657179658
christian metal,METAL,9,17,115,0,8.279625774283914e-4,8.27962577428387e-4
bluegrass,COUNTRY,12,19,114,0,0.012102958929450895,0.012102958929450887
sleaze rock,ROCK,28,8,114,0,0.026276915274838546,0.026276915274838535
brostep,ELECTRONIC,9,20,112,12.533333333333333,5.399895503458398e-4,5.399895503458371e-4
house,ELECTRONIC,8,19,111,943.5,0.0010114505959075825,0.001011450595907579
industrial,ELECTRONIC,4,29,111,0.3333333333333333,0.008707192335169164,0.008707192335169162
indie r&b,ROCK,10,26,108,0,0.003967972069124854,0.003967972069124852
minneapolis sound,R&B,8,17,105,0,0.0051314532666710665,0.005131453266671066
jazz saxophone,JAZZ,8,18,105,0,3.586773661010649e-4,3.586773661010592e-4
vapor trap,HIP HOP,4,15,105,0,0.0018044473583515987,0.0018044473583515997
scorecore,METAL,15,8,104,938,6.9461113251527274e-6,6.946111325151886e-6
big beat,ELECTRONIC,16,21,104,0,0.0031333453962116157,0.0031333453962116152
canadian rock,ROCK,9,27,104,0,0.009210084216084748,0.009210084216084748
smooth jazz,JAZZ,15,20,103,948,0.0034811040980728372,0.0034811040980728307
miami hip hop,HIP HOP,5,21,102,0,0.002421313025104286,0.0024213130251042854
math rock,ROCK,4,24,101,0,0.006762972294829116,0.006762972294829118
post-rock,ROCK,5,35,101,2863,0.00846384805822373,0.008463848058223727
reggae,REGGAE,15,13,100,10312,4.9771354546636924e-5,4.977135454663245e-5
instrumental rock,ROCK,7,24,100,34,0.016455390097133375,0.016455390097133368
indie surf,ROCK,3,22,99,0,0.010452627327421127,0.010452627327421126
ectofolk,FOLK,10,17,98,0,0.020953266977994756,0.020953266977994756
sunshine pop,POP,15,18,98,0,0.028723961595695426,0.028723961595695433
hollywood,CLASSICAL,27,19,97,5668,0.003932296473882661,0.003932296473882667
indie garage rock,ROCK,4,22,97,0,0.009192554662009616,0.009192554662009614
avant-garde jazz,JAZZ,11,19,94,1885.8333333333335,4.3931834595867367e-4,4.393183459586771e-4
diva house,ELECTRONIC,15,15,89,0,0.0017259017277618939,0.0017259017277618945
houston rap,HIP HOP,7,10,89,0,0.0017314520378288794,0.0017314520378288812
cosmic american,ROCK,7,20,89,0,0.030272385800593524,0.03027238580059352
reggaeton flow,LATIN,19,7,88,0,3.008933609116126e-4,3.0089336091161027e-4
christian hardcore,ROCK,15,13,88,0,3.279321099365716e-4,3.279321099365653e-4
cali rap,HIP HOP,20,13,87,0,0.0013919129596342227,0.0013919129596342199
northern soul,R&B,15,11,87,0,0.003872108490922322,0.0038721084909223223
jazz blues,JAZZ,6,27,87,0,0.008068667490462231,0.008068667490462225
roots reggae,FOLK,13,10,87,947.5,2.2874368701805982e-5,2.287436870180074e-5
free jazz,JAZZ,5,18,86,7.5,3.818724304560827e-4,3.818724304560802e-4
deathgrind,METAL,6,19,86,947.3333333333334,0.001623902503414531,0.001623902503414534
deep ccm,R&B,12,10,85,0,9.62755011469262e-5,9.62755011469307e-5
hardcore punk,ROCK,5,29,85,977,0.004427407847456838,0.004427407847456835
wrestling,OTHER,13,20,85,0,0.008183659708657302,0.008183659708657299
vocal house,ELECTRONIC,8,21,83,1837.5,0.0013504094253139283,0.0013504094253139263
contemporary jazz,JAZZ,8,18,82,0,5.105445269599535e-4,5.10544526959957e-4
post-metal,ROCK,7,17,82,1753,0.0029572826735393726,0.0029572826735393696
doom metal,METAL,5,21,82,6.5,0.004079345586792333,0.004079345586792326
ranchera,LATIN,10,11,81,935,1.8080042931263382e-5,1.808004293126104e-5
jazz piano,JAZZ,4,17,81,0,8.88446393552618e-4,8.884463935526214e-4
swedish metal,METAL,7,18,81,0.5,0.004127681153973165,0.0041276811539731634
philly indie,ROCK,5,20,79,0,0.00881597635911843,0.008815976359118424
latin arena pop,POP,14,9,77,0,1.9517873287480417e-4,1.9517873287480005e-4
memphis hip hop,HIP HOP,8,8,77,0,0.001525161016683083,0.001525161016683084
new orleans rap,HIP HOP,4,12,77,0,0.001419284920750987,0.001419284920750987
roots americana,COUNTRY,6,14,76,0,0.010950569115211443,0.010950569115211436
madchester,ROCK,7,17,76,0,0.015738278050660564,0.015738278050660557
fourth world,OTHER,2,28,76,3681.3333333333335,0.007534543153305257,0.007534543153305252
classic girl group,POP,14,14,75,0,0.00779465722763272,0.00779465722763272
deep big room,ELECTRONIC,10,11,73,0,6.06308435248488e-4,6.063084352484847e-4
reggae fusion,JAZZ,20,15,73,37,6.17837990650539e-4,6.178379906505389e-4
modern alternative rock,ROCK,11,16,72,0,0.012837589314748273,0.01283758931474826
british soul,R&B,26,20,72,0,0.005592622056279829,0.0055926220562798265
hi-nrg,ELECTRONIC,6,15,72,0,0.009427275225889818,0.009427275225889818
philly rap,HIP HOP,4,14,72,0,0.001552029872520348,0.0015520298725203467
dancehall,REGGAE,19,9,71,1896,5.347347362984101e-6,5.34734736297878e-6
canadian country,COUNTRY,7,16,71,0,0.008522821445348057,0.008522821445348057
mexican pop,POP,7,9,71,0,6.603524452322971e-4,6.60352445232295e-4
boom bap,HIP HOP,16,9,69,0,9.05133299592671e-4,9.051332995926724e-4
cumbia,LATIN,11,10,69,0,9.688414227547241e-6,9.688414227546226e-6
brutal death metal,METAL,6,14,69,0.3333333333333333,0.0015855264760511216,0.001585526476051119
pop edm,POP,7,12,69,0,9.305406306019963e-4,9.305406306019959e-4
new jersey indie,ROCK,3,23,69,0,0.008655287913675168,0.008655287913675164
latin jazz,LATIN,9,16,68,33,8.301891868130046e-5,8.301891868129896e-5
canadian metal,METAL,6,19,68,948,0.012790504336918355,0.012790504336918349
jazz trumpet,JAZZ,6,17,68,1287.5,5.326715979375769e-4,5.326715979375766e-4
garage pop,POP,3,18,67,0,0.00555340621603698,0.005553406216036979
detroit hip hop,HIP HOP,13,12,66,948,0.0016120625850492916,0.001612062585049295
freestyle,ELECTRONIC,44,12,66,948,0.003036901690764416,0.003036901690764415
boston rock,ROCK,5,21,66,0,0.009744465088986078,0.009744465088986074
electronic trap,HIP HOP,6,12,66,2.033333333333333,2.133808455881333e-4,2.1338084558813274e-4
duranguense,LATIN,13,6,65,0,4.3729830674788867e-7,4.372983067476719e-7
british folk,FOLK,11,15,65,0,0.02098869808915184,0.020988698089151832
rock en espanol,ROCK,8,11,65,3783,1.784260783191245e-4,1.7842607831912343e-4
swedish electropop,POP,3,19,65,3,0.0027630905337043573,0.0027630905337043526
american folk revival,FOLK,20,13,64,0,0.018846056600545825,0.018846056600545825
bay area indie,ROCK,10,21,64,948,0.006877622933739126,0.006877622933739124
gospel,R&B,64,9,63,2865.5,2.8449964644597234e-4,2.8449964644597137e-4
disco house,ELECTRONIC,9,18,63,3,4.2238260091649073e-4,4.2238260091648997e-4
old-time,FOLK,6,12,63,0,0.005555423906496982,0.005555423906496981
