name,primary_main_genre,artist_count,macro_genre
indie poptimism,dance pop,17,POP
death metal,alternative metal,14,METAL
latin pop,latin,30,POP
red dirt,outlaw country,12,COUNTRY
noise pop,alternative rock,31,POP
post-screamo,melodic metalcore,10,ROCK
british blues,album rock,18,BLUES
alternative pop,alternative pop,36,POP
anti-folk,anti-folk,13,FOLK
pub rock,alternative country,12,ROCK
rap metal,alternative metal,34,HIP HOP
freakbeat,classic garage rock,27,ROCK
bubblegum dance,bubblegum dance,29,POP
big room,big room,31,ELECTRONIC
industrial rock,alternative metal,30,ROCK
memphis soul,classic soul,18,R&B
australian pop,australian pop,52,POP
canterbury scene,art rock,28,ROCK
electronic,alternative dance,24,ELECTRONIC
tropical house,dance pop,36,LATIN
grunge,alternative metal,24,ROCK
trap music,atl hip hop,58,HIP HOP
old school hip hop,electro,17,HIP HOP
electro,electro,30,ELECTRONIC
jam band,jam band,17,ROCK
dreamo,dreamo,36,ROCK
country dawn,contemporary country,54,COUNTRY
reggaeton,latin,25,LATIN
rhythm and blues,brill building pop,25,BLUES
country pop,contemporary country,40,POP
latin hip hop,latin,21,HIP HOP
comedy,comedy,33,OTHER
big beat,big beat,16,ELECTRONIC
chicago soul,chicago soul,28,R&B
hollywood,hollywood,27,CLASSICAL
hyphy,g funk,13,HIP HOP
progressive post-hardcore,dreamo,7,ROCK
rap rock,alternative metal,113,HIP HOP
boy band,boy band,47,POP
electro house,big room,27,ELECTRONIC
indiecoustica,acoustic pop,26,ROCK
piano rock,dreamo,7,ROCK
jazz fusion,art rock,16,JAZZ
texas country,alternative country,30,COUNTRY
britpop,britpop,35,POP
reggae,dub,15,REGGAE
hard bop,bebop,18,JAZZ
jazz,bebop,24,JAZZ
roots worship,anthem worship,11,FOLK
deep new americana,alternative country,12,COUNTRY
anthem emo,alternative emo,24,ROCK
pixie,candy pop,5,OTHER
philly soul,classic soul,24,R&B
hip house,hip house,15,ELECTRONIC
progressive metal,alternative metal,17,METAL
glam rock,album rock,17,ROCK
post-punk,alternative rock,24,ROCK
bluegrass,bluegrass,12,COUNTRY
brostep,brostep,9,ELECTRONIC
deep southern trap,deep southern trap,16,HIP HOP
ska punk,melodic hardcore,6,ROCK
west coast rap,g funk,34,HIP HOP
christian pop,anthem worship,22,POP
mathcore,alternative metal,7,ROCK
melancholia,alternative rock,13,OTHER
experimental rock,alternative rock,15,ROCK
new rave,alternative dance,80,ELECTRONIC
christian rock,christian alternative rock,20,ROCK
old school thrash,alternative metal,9,METAL
diva house,diva house,15,ELECTRONIC
modern blues,blues,27,BLUES
swing,adult standards,19,JAZZ
christian metal,christian hardcore,9,METAL
funk metal,alternative metal,26,METAL
experimental,art rock,8,AVANT-GARDE
power metal,album rock,10,METAL
ectofolk,ectofolk,10,FOLK
traditional country,country,39,COUNTRY
metropopolis,alternative dance,10,POP
broadway,broadway,31,POP
modern country rock,contemporary country,97,COUNTRY
modern blues rock,blues-rock,9,ROCK
gospel,gospel,64,R&B
reggaeton flow,latin,19,LATIN
modern alternative rock,modern alternative rock,11,ROCK
melodic hardcore,alternative emo,14,ROCK
deep disco,deep disco,31,ELECTRONIC
latin arena pop,latin,14,POP
neo classical metal,album rock,8,METAL
stoner metal,alternative metal,12,METAL
garage psych,alternative rock,6,ROCK
underground hip hop,alternative hip hop,19,HIP HOP
indie pop rap,indie pop rap,14,POP
la indie,indie pop,6,ROCK
deep ccm,anthem worship,12,R&B
big band,adult standards,10,JAZZ
christian hardcore,christian hardcore,15,ROCK
djent,djent,8,METAL
slow core,alternative rock,18,METAL
baroque pop,baroque pop,12,POP
shimmer pop,alternative dance,17,POP
sludge metal,alternative metal,11,METAL
alternative r&b,alternative r&b,37,R&B
soundtrack,british soundtrack,12,CLASSICAL
ska,dance rock,5,REGGAE
girl group,girl group,12,POP
classic canadian rock,classic canadian rock,20,ROCK
boom bap,alternative hip hop,16,HIP HOP
chicago rap,chicago rap,21,HIP HOP
crossover thrash,crossover thrash,13,METAL
noise rock,alternative rock,18,ROCK
duranguense,banda,13,LATIN
house,big room,8,ELECTRONIC
minneapolis sound,disco,8,R&B
christian hip hop,christian hip hop,18,HIP HOP
industrial,alternative metal,4,ELECTRONIC
melodic death metal,alternative metal,11,METAL
dub,dub,15,REGGAE
american folk revival,american folk revival,20,FOLK
gbvfi,alternative pop,11,OTHER
hard alternative,alternative metal,12,ROCK
indie punk,alternative rock,5,ROCK
british soul,british soul,26,R&B
classic soundtrack,classic soundtrack,35,CLASSICAL
cali rap,cali rap,20,HIP HOP
contemporary gospel,contemporary gospel,18,R&B
disco house,disco house,9,ELECTRONIC
neo-synthpop,alternative dance,14,POP
detroit hip hop,detroit hip hop,13,HIP HOP
downtempo,downtempo,9,ELECTRONIC
soul blues,blues,8,R&B
classic girl group,brill building pop,14,POP
epicore,epicore,7,OTHER
canadian singer-songwriter,canadian singer-songwriter,3,FOLK
chicano rap,chicano rap,26,HIP HOP
screamo,metalcore,18,ROCK
uk pop,dance pop,48,POP
brooklyn indie,brooklyn indie,6,ROCK
nu gaze,alternative dance,13,ROCK
hardcore punk,crossover thrash,5,ROCK
neo-psychedelic,alternative rock,6,ROCK
contemporary jazz,contemporary jazz,8,JAZZ
dancehall,dancehall,19,REGGAE
cumbia,banda,11,LATIN
ranchera,banda,10,LATIN
rockabilly,adult standards,40,ROCK
latin jazz,boogaloo,9,LATIN
brutal death metal,brutal death metal,6,METAL
british soundtrack,british soundtrack,14,CLASSICAL
christian punk,christian alternative rock,7,ROCK
lovers rock,dancehall,7,ROCK
deep soft rock,deep soft rock,21,ROCK
memphis hip hop,crunk,8,HIP HOP
post-metal,alternative metal,7,ROCK
progressive electro house,big room,17,ELECTRONIC
miami hip hop,miami hip hop,5,HIP HOP
nu jazz,acid jazz,5,JAZZ
exotica,adult standards,3,OTHER
neo-progressive,album rock,5,ROCK
roots americana,alternative country,6,COUNTRY
easycore,alternative emo,7,ROCK
neo r&b,neo r&b,6,R&B
canadian rock,alternative metal,9,ROCK
chamber psych,alternative rock,4,CLASSICAL
jazz saxophone,bebop,8,JAZZ
british folk,british folk,11,FOLK
northern soul,northern soul,15,R&B
country rap,country rap,14,HIP HOP
hi-nrg,disco,6,ELECTRONIC
smooth jazz,jazz funk,15,JAZZ
salsa,boogaloo,7,LATIN
candy pop,candy pop,34,POP
punk blues,garage rock,10,ROCK
funk rock,alternative metal,9,ROCK
houston rap,dirty south rap,7,HIP HOP
jazz blues,jazz blues,6,JAZZ
progressive bluegrass,bluegrass,11,COUNTRY
doom metal,alternative metal,5,METAL
no wave,alternative rock,6,ROCK
christian relaxative,christian music,4,NEW AGE
cosmic american,cosmic american,7,ROCK
avant-garde jazz,avant-garde jazz,11,JAZZ
regional mexican,banda,41,LATIN
madchester,britpop,7,ROCK
jazz electric bass,jazz electric bass,4,JAZZ
new orleans rap,deep southern trap,4,HIP HOP
progressive house,big room,17,ELECTRONIC
deep big room,big room,10,ELECTRONIC
canadian indie,canadian indie,11,ROCK
canadian pop,canadian pop,18,POP
acoustic blues,acoustic blues,9,BLUES
experimental pop,alternative dance,5,POP
indie surf,alternative dance,3,ROCK
indie r&b,alternative r&b,10,ROCK
indie garage rock,alternative rock,4,ROCK
comic,comic,31,OTHER
classical,classical,17,CLASSICAL
appalachian folk,appalachian folk,7,FOLK
banjo,banjo,8,FOLK
old-time,appalachian folk,6,FOLK
australian rock,australian rock,14,ROCK
free jazz,avant-garde jazz,5,JAZZ
battle rap,battle rap,15,HIP HOP
boogaloo,boogaloo,9,JAZZ
canadian country,alberta country,7,COUNTRY
reggae fusion,reggae fusion,20,JAZZ
post-doom metal,doom metal,3,ROCK
complextro,big room,3,ELECTRONIC
philly rap,philly rap,4,HIP HOP
escape room,alternative r&b,11,OTHER
talent show,dance pop,6,POP
rock en espanol,latin,8,ROCK
country blues,blues,4,COUNTRY
christian uplift,anthem worship,5,R&B
ballroom,ballroom,6,OTHER
emo punk,alternative emo,3,ROCK
math rock,alternative rock,4,ROCK
synthpop,dance rock,43,POP
christian indie,anthem worship,5,ROCK
soul jazz,bebop,16,R&B
chicago blues,blues,5,BLUES
mambo,boogaloo,8,JAZZ
deathgrind,brutal death metal,6,METAL
new jersey rap,new jersey rap,5,HIP HOP
gothic rock,dance rock,5,ROCK
old school dancehall,dancehall,11,REGGAE
deep east coast hip hop,deep east coast hip hop,8,HIP HOP
pop edm,big room,7,POP
freestyle,freestyle,44,ELECTRONIC
skate punk,emo,8,ROCK
alternative pop rock,alternative pop rock,10,POP
celtic,celtic,14,FOLK
mexican pop,latin,7,POP
abstract hip hop,abstract hip hop,13,HIP HOP
afrobeat,afrobeat,9,FOLK
harmonica blues,acoustic blues,6,BLUES
alberta country,alberta country,7,COUNTRY
instrumental rock,album rock,7,ROCK
hardcore,alternative metal,4,ROCK
garage pop,alternative rock,3,POP
psychedelic folk,psychedelic folk,4,ROCK
symphonic rock,album rock,53,ROCK
bachata,bachata,7,LATIN
psychedelic blues-rock,psychedelic blues-rock,6,ROCK
cuban rumba,boogaloo,5,LATIN
boston rock,boston rock,5,ROCK
opera,classical soprano,5,CLASSICAL
drill,chicago rap,4,HIP HOP
nu-metalcore,deathcore,2,METAL
post-post-hardcore,metalcore,4,ROCK
classical performance,classical performance,13,CLASSICAL
modern ska punk,modern ska punk,4,ROCK
rock steady,dub,6,ROCK
german metal,german metal,3,METAL
k-pop,k-pop,10,POP
southern soul,classic soul,61,R&B
breakbeat,big beat,5,ELECTRONIC
progressive trance,big room,3,ELECTRONIC
electroclash,alternative dance,7,ELECTRONIC
black metal,black metal,5,METAL
gothic metal,alternative metal,4,METAL
electro-industrial,dark wave,4,ELECTRONIC
arkansas country,arkansas country,13,COUNTRY
british singer-songwriter,british singer-songwriter,4,FOLK
louisiana blues,louisiana blues,3,BLUES
afropop,afropop,6,POP
canadian metal,album rock,6,METAL
stomp and holler,alternative country,29,ROCK
intelligent dance music,alternative dance,3,ELECTRONIC
filter house,alternative dance,5,ELECTRONIC
canadian ccm,anthem worship,3,R&B
baltimore indie,art pop,4,ROCK
atl trap,atl hip hop,5,HIP HOP
jazz piano,bebop,4,JAZZ
bossa nova,bossa nova,12,LATIN
bass trap,bass trap,7,HIP HOP
jazz organ,jazz organ,4,JAZZ
bolero,bolero,9,LATIN
indie anthem-folk,acoustic pop,3,FOLK
german techno,bubblegum dance,6,ELECTRONIC
classical soprano,classical soprano,6,CLASSICAL
redneck,contemporary country,21,COUNTRY
swedish death metal,alternative metal,4,METAL
deep freestyle,deep freestyle,7,ELECTRONIC
dirty texas rap,dirty south rap,8,HIP HOP
tribal house,disco house,2,ELECTRONIC
drone metal,doom metal,4,METAL
miami bass,miami bass,12,R&B
sertanejo pop,funk carioca,2,POP
psychobilly,horror punk,3,ROCK
melodic thrash,alternative metal,2,METAL
modern southern rock,modern southern rock,11,ROCK
sertanejo,sertanejo,3,LATIN
hardcore techno,big beat,3,ELECTRONIC
canadian contemporary country,alberta country,5,COUNTRY
latin metal,alternative metal,6,METAL
celtic rock,celtic,7,ROCK
ebm,dark wave,4,ELECTRONIC
gothic symphonic metal,gothic metal,3,METAL
acid house,acid house,7,ELECTRONIC
chicago house,chicago house,8,ELECTRONIC
acid jazz,acid jazz,12,JAZZ
indie jazz,acid jazz,3,ROCK
deep adult standards,deep adult standards,11,R&B
alabama metal,alabama metal,6,METAL
nintendocore,metalcore,2,ROCK
progressive metalcore,deathcore,3,METAL
german hard rock,album rock,3,ROCK
chaotic hardcore,alternative emo,3,ROCK
jazz rap,alternative hip hop,10,HIP HOP
gymcore,alternative metal,4,OTHER
jazz metal,alternative metal,4,METAL
post-rock,alternative rock,5,ROCK
bay area indie,bay area indie,10,ROCK
chicago indie,alternative rock,3,ROCK
antiviral pop,antiviral pop,6,POP
etherpop,art pop,2,POP
space rock,art rock,5,ROCK
austindie,austindie,3,ROCK
australian alternative rock,australian alternative rock,6,ROCK
jazz trumpet,jazz trumpet,6,JAZZ
jazz drums,jazz drums,4,JAZZ
baile pop,baile pop,8,POP
deep regional mexican,banda,5,LATIN
ninja,big beat,2,OTHER
indie electro-pop,dance pop,2,POP
canadian hip hop,canadian hip hop,7,HIP HOP
classical tenor,classical tenor,4,CLASSICAL
portland indie,chamber pop,2,ROCK
chicago punk,chicago punk,5,ROCK
clean comedy,clean comedy,6,OTHER
dark trap,dark trap,6,HIP HOP
emo rap,emo rap,6,HIP HOP
modern hard rock,modern hard rock,9,ROCK
deep southern soul,deep southern soul,10,R&B
movie tunes,movie tunes,6,CLASSICAL
psychedelic doom,doom metal,3,ROCK
modern reggae,dancehall,4,REGGAE
flamenco,flamenco,6,LATIN
neo-trad metal,hard rock,2,METAL
oi,oi,2,ROCK
healing,healing,7,NEW AGE
nyc rap,nyc rap,13,HIP HOP
australian dance,australian dance,10,ELECTRONIC
dutch house,big room,4,ELECTRONIC
swedish electropop,alternative dance,3,POP
shoegaze,alternative rock,5,ROCK
orgcore,alternative emo,1,ROCK
australian metalcore,australian metalcore,3,METAL
boston metal,boston metal,4,METAL
folk punk,folk punk,4,ROCK
electropowerpop,electropowerpop,5,POP
melodic deathcore,deathcore,4,METAL
p funk,funk,6,R&B
idol,idol,21,POP
canadian contemporary r&b,canadian contemporary r&b,4,R&B
piedmont blues,acoustic blues,2,ELECTRONIC
mande pop,afropop,3,POP
preverb,alternative dance,4,OTHER
boston hardcore,alternative emo,2,ROCK
trip hop,alternative dance,15,ELECTRONIC
louisiana metal,alternative metal,2,METAL
gothenburg metal,alternative metal,2,METAL
compositional ambient,compositional ambient,5,ELECTRONIC
mpb,bossa nova,5,LATIN
catstep,brostep,2,ELECTRONIC
beach music,beach music,14,R&B
jazz guitar,bebop,4,JAZZ
stride,bebop,2,JAZZ
black thrash,black thrash,2,METAL
texas blues,blues,9,BLUES
jump blues,blues,3,BLUES
bow pop,bow pop,16,POP
brit funk,brit funk,7,R&B
disney,disney,4,CLASSICAL
native american,native american,2,FOLK
deep christian rock,christian alternative rock,3,ROCK
southern rock,album rock,22,ROCK
instrumental funk,instrumental funk,5,R&B
cowpunk,cowpunk,6,ROCK
deep groove house,deep groove house,3,ELECTRONIC
deep underground hip hop,deep underground hip hop,6,HIP HOP
popping,disco,2,POP
midwest emo,alternative emo,5,ROCK
electro swing,electro swing,4,JAZZ
funk carioca,baile pop,4,R&B
nwothm,hard rock,2,ROCK
hopebeat,hopebeat,4,OTHER
latin rock,latin,2,ROCK
new age,new age,8,NEW AGE
trance,big room,3,ELECTRONIC
alabama rap,alabama rap,5,HIP HOP
birmingham metal,album rock,3,METAL
nwobhm,hard rock,3,ROCK
grave wave,alternative dance,2,OTHER
irish rock,irish rock,5,ROCK
philly indie,alternative emo,5,ROCK
nc hip hop,alternative hip hop,5,HIP HOP
florida death metal,alternative metal,2,METAL
canadian punk,canadian hardcore,3,ROCK
dark wave,dark wave,5,ROCK
scottish new wave,art rock,3,ROCK
jamgrass,bluegrass,2,FOLK
irish singer-songwriter,chamber pop,2,FOLK
merengue,latin,2,LATIN
bounce,bounce,5,ELECTRONIC
chicago drill,chicago drill,4,HIP HOP
horrorcore,horrorcore,5,HIP HOP
nashville singer-songwriter,alternative country,2,COUNTRY
canadian folk,canadian folk,6,FOLK
swedish pop,dance pop,5,POP
colombian pop,colombian pop,5,POP
a cappella,a cappella,15,POP
minnesota hip hop,abstract hip hop,5,HIP HOP
jazz vibraphone,jazz vibraphone,2,JAZZ
vocal harmony group,adult standards,8,POP
nederpop,classic uk pop,3,POP
deep melodic metalcore,alabama metal,1,METAL
metal guitar,album rock,2,METAL
turntablism,alternative hip hop,30,HIP HOP
nyhc,alternative metal,2,ROCK
electronic rock,electronic rock,6,ROCK
fourth world,alternative rock,2,OTHER
ambient,ambient,4,ELECTRONIC
j-pop,anime,2,POP
new jersey indie,art pop,3,ROCK
free improvisation,avant-garde jazz,3,JAZZ
axe,axe,4,LATIN
forro,axe,3,LATIN
brazilian hip hop,brazilian hip hop,7,HIP HOP
ragtime,big band,2,JAZZ
new orleans blues,adult standards,2,BLUES
piano blues,adult standards,2,BLUES
boston hip hop,boston hip hop,4,HIP HOP
brazilian edm,brazilian edm,12,LATIN
canadian soundtrack,canadian soundtrack,4,CLASSICAL
canadian hardcore,canadian hardcore,3,ROCK
toronto rap,canadian hip hop,3,HIP HOP
instrumental post-rock,canadian post-rock,1,ROCK
uk worship,anthem worship,2,R&B
channel pop,channel pop,4,POP
chanson,chanson,10,POP
chillhop,chillhop,4,ELECTRONIC
filmi,chutney,1,CLASSICAL
classic praise,classic praise,3,R&B
classic schlager,classic schlager,5,POP
italian soundtrack,classic soundtrack,4,CLASSICAL
comedienne,comedienne,5,OTHER
la pop,la pop,3,POP
dutch prog,album rock,2,ROCK
finnish death metal,finnish death metal,2,METAL
finnish metal,finnish death metal,2,METAL
folk metal,finnish death metal,2,METAL
flamenco guitar,flamenco,3,LATIN
german soundtrack,german soundtrack,5,CLASSICAL
grunge pop,grunge pop,6,POP
kirtan,healing,3,NEW AGE
horror punk,horror punk,6,ROCK
j-pop girl group,j-pop girl group,2,POP
k-indie,k-indie,3,ROCK
latin alternative,latin alternative,3,ROCK
trap latino,latin,3,HIP HOP
modern salsa,latin,3,LATIN
pagode,axe,3,LATIN
world,afrobeat,3,FOLK
drum and bass,drum and bass,2,ELECTRONIC
dubstep,bass trap,2,ELECTRONIC
moombahton,big room,3,ELECTRONIC
canadian electronic,big room,1,ELECTRONIC
deep house,deep house,2,ELECTRONIC
alabama indie,alabama indie,2,ROCK
german rock,album rock,2,ROCK
atlanta indie,alternative dance,1,ROCK
denton tx indie,denton tx indie,1,ROCK
experimental hip hop,alternative hip hop,3,HIP HOP
christian hard rock,christian alternative rock,2,ROCK
progressive sludge,alternative metal,2,METAL
oxford indie,alternative rock,2,ROCK
ambient folk,ambient folk,4,ELECTRONIC
krautrock,art rock,3,ROCK
pagan black metal,black metal,2,METAL
symphonic black metal,black metal,2,METAL
boston punk,boston punk,3,ROCK
celtic punk,alternative roots rock,1,ROCK
dixieland,brass band,1,JAZZ
mod revival,dance rock,2,ROCK
c86,c86,6,ROCK
canadian post-hardcore,canadian post-hardcore,3,ROCK
gothic alternative,gothic alternative,2,ROCK
classic swedish pop,classic swedish pop,8,POP
deep new wave,deep new wave,10,ROCK
progressive jazz fusion,progressive jazz fusion,3,JAZZ
roots reggae,dub,13,FOLK
new jersey punk,alternative metal,1,ROCK
swedish alternative rock,indie pop,2,ROCK
spanish pop,latin,4,POP
gospel r&b,gospel,17,R&B
dmv rap,alternative r&b,1,HIP HOP
dfw rap,dfw rap,3,HIP HOP
delta blues,acoustic blues,2,BLUES
memphis blues,adult standards,1,BLUES
mariachi,grupera,2,LATIN
cantautor,cantautor,3,FOLK
rap latina,latin,2,HIP HOP
acoustic punk,acoustic punk,3,ROCK
adoracao,adoracao,3,OTHER
brazilian gospel,adoracao,2,LATIN
operatic pop,operatic pop,16,POP
afro dancehall,afro dancehall,2,REGGAE
alternative americana,alternative americana,4,COUNTRY
shiver pop,alternative r&b,2,POP
new weird america,alternative dance,2,FOLK
folktronica,alternative dance,2,ELECTRONIC
microhouse,alternative dance,1,ELECTRONIC
nyc pop,nyc pop,4,POP
ethereal wave,bow pop,2,ELECTRONIC
duluth indie,alternative rock,1,ROCK
drone,ambient,2,AVANT-GARDE
american modern classical,american modern classical,5,CLASSICAL
american shoegaze,american shoegaze,2,ROCK
dreamgaze,american shoegaze,2,OTHER
anime,anime,2,OTHER
outsider,outsider,3,OTHER
athens indie,athens indie,1,ROCK
australian electropop,alternative dance,2,POP
australian indie,australian indie,4,ROCK
jazz double bass,avant-garde jazz,2,JAZZ
avant-garde,avant-garde,3,AVANT-GARDE
brazilian rock,brazilian rock,2,ROCK
bass house,bass house,3,ELECTRONIC
electronic trap,bass trap,6,HIP HOP
basshall,basshall,3,ELECTRONIC
dutch hip hop,basshall,2,HIP HOP
bboy,bboy,3,HIP HOP
new orleans jazz,bebop,2,JAZZ
jazztronica,big beat,1,JAZZ
boogie-woogie,blues,1,JAZZ
jazz cubano,boogaloo,1,LATIN
focus,compositional ambient,2,OTHER
nordic soundtrack,nordic soundtrack,2,CLASSICAL
technical death metal,brutal death metal,4,METAL
goregrind,brutal death metal,2,METAL
brutal deathcore,brutal deathcore,2,METAL
bubble trance,bubble trance,3,ELECTRONIC
classic danish pop,classic danish pop,3,POP
canadian celtic,canadian celtic,3,FOLK
canzone napoletana,canzone napoletana,1,OTHER
louvor,ccm,1,R&B
idaho indie,chamber pop,1,ROCK
collage pop,chamber pop,1,POP
north carolina indie,chamber pop,1,ROCK
gothenburg indie,chamber pop,2,ROCK
swedish indie pop,chamber pop,2,POP
rock cristiano,christian alternative rock,1,ROCK
modern bollywood,chutney,1,CLASSICAL
classic psychedelic rock,classic garage rock,2,ROCK
new orleans funk,afrobeat,2,R&B
french soundtrack,french soundtrack,3,CLASSICAL
horror synth,classic soundtrack,2,ELECTRONIC
comic metal,comic metal,3,METAL
family gospel,country gospel,2,R&B
military rap,country rap,2,HIP HOP
swamp pop,swamp pop,6,POP
power thrash,crossover thrash,1,METAL
german dance,dance pop,2,ELECTRONIC
italian disco,italian disco,6,ELECTRONIC
deep tropical house,deep tropical house,2,LATIN
swedish tropical house,swedish tropical house,2,LATIN
epic doom,doom metal,1,METAL
jamtronica,edm,1,ELECTRONIC
el paso indie,el paso indie,2,ROCK
new french touch,chillhop,1,ELECTRONIC
scottish indie,alternative rock,4,ROCK
future garage,future garage,1,ROCK
german pop,german pop,3,POP
melodic hard rock,glam metal,4,ROCK
meditation,healing,3,NEW AGE
sitar,hindustani classical,1,CLASSICAL
nordic post-rock,instrumental post-rock,1,ROCK
jazz violin,jazz violin,4,JAZZ
mexican rock,latin alternative,1,ROCK
swamp blues,acoustic blues,1,BLUES
monastic,monastic,2,CLASSICAL
smooth soul,neo soul,3,R&B
norwegian pop,dance pop,3,POP
bmore,bmore,2,ELECTRONIC
liquid funk,big beat,1,R&B
uk contemporary r&b,tropical house,1,R&B
retro soul,afrobeat,1,R&B
stoner rock,alternative metal,14,ROCK
dutch rock,dutch rock,2,ROCK
danish metal,album rock,2,METAL
albuquerque indie,albuquerque indie,2,ROCK
rhode island indie,alternative country,1,ROCK
swedish synthpop,alternative dance,3,POP
auckland indie,alternative dance,1,ROCK
brighton indie,alternative dance,2,ROCK
english indie rock,english indie rock,2,ROCK
chicago pop punk,alternative emo,2,ROCK
australian psych,alternative metal,1,OTHER
cyberpunk,cyberpunk,3,ROCK
american post-rock,alternative metal,1,ROCK
avantgarde metal,avantgarde metal,2,METAL
canadian pop punk,alternative metal,1,ROCK
comedy rock,comedy rock,1,ROCK
swedish doom metal,alternative metal,1,METAL
swedish metal,alternative metal,7,METAL
scottish rock,alternative rock,3,ROCK
alternative roots rock,alternative roots rock,6,ROCK
cedm,anthem worship,1,ELECTRONIC
christelijk,anthem worship,1,OTHER
dark cabaret,anti-folk,2,OTHER
omaha indie,omaha indie,2,ROCK
british jazz,british jazz,2,JAZZ
italian progressive rock,italian progressive rock,2,ROCK
atmospheric black metal,atmospheric black metal,2,METAL
baroque ensemble,baroque ensemble,2,CLASSICAL
uk alternative pop,baroque pop,1,POP
norwegian black metal,black metal,2,METAL
norwegian metal,black metal,2,METAL
